Event,Year,Overall Position,Rider,Race Style,Cap,Gender,Result,Nationality,Bike,Finish Time,Finish Time - Minutes,Notes
Iditarod Trail Invitational (1000) 2000,2000,1,Mike Curiak,SOLO,,MEN,FINISHED,,,15d 1h 15m,21675,
Iditarod Trail Invitational (1000) 2000,2000,2,Jon Kirschke,SOLO,,MEN,FINISHED,,,15d 5h 0m,21900,
Iditarod Trail Invitational (1000) 2000,2000,3,Greg Blackwell,SOLO,,MEN,FINISHED,,,15d 9h 0m,22140,
Iditarod Trail Invitational (1000) 2000,2000,4,Pat Norwill,SOLO,,MEN,FINISHED,,,16d 23h 0m,24420,
Iditarod Trail Invitational (1000) 2000,2000,5,John Stamstad,SOLO,,MEN,FINISHED,,,18d 4h 30m,26190,
Iditarod Trail Invitational (1000) 2000,2000,6,Mike Madden,SOLO,,MEN,FINISHED,,,18d 4h 30m,26190,
Iditarod Trail Invitational (1000) 2000,2000,7,Sam Newbury,SOLO,,MEN,FINISHED,,,21d 8h 0m,30720,
Iditarod Trail Invitational (1000) 2000,2000,8,Dave Norona,SOLO,,MEN,FINISHED,,,33d 4h 30m,47790,
Iditarod Trail Invitational (1000) 2000,2000,9,Kevin Vallely,SOLO,,MEN,FINISHED,,,33d 4h 30m,47790,
Iditarod Trail Invitational (1000) 2000,2000,10,Janine Duplessis,SOLO,,MEN,FINISHED,,,41d 10h 30m,59670,
Iditarod Trail Invitational (1000) 2000,2000,11,John Wagner,SOLO,,MEN,FINISHED,,,41d 10h 30m,59670,
Iditarod Trail Invitational (1000) 2000,2000,12,Andy Stearns,SOLO,,MEN,FINISHED,,,44d 0h 0m,63360,
Iditarod Trail Invitational (1000) 2001,2001,1,Andy Heading,SOLO,,MEN,FINISHED,,,26d 5h 7m,37747,
Iditarod Trail Invitational (1000) 2001,2001,2,Mike Estes,SOLO,,MEN,FINISHED,,,26d 5h 7m,37747,
Iditarod Trail Invitational (1000) 2001,2001,3,Tim Hewitt,SOLO,,MEN,FINISHED,,,26d 20h 46m,38686,
Iditarod Trail Invitational (1000) 2001,2001,4,Tom Jarding,SOLO,,MEN,FINISHED,,,26d 20h 46m,38686,
